Morfo;Visitor
Borboleta amarela da ixorea;Phoebis sp1
Borboleta amarela filmada hj na de 10 min;Phoebis sp1
Borboleta amarela grande;Phoebis sp1
Borboleta amarela grande com pontos laranjas;Phoebis sp1
borboleta amarela n sei qual;Phoebis sp1
borboleta amarela n sei qual. Com manchas laranja qunado abre;Phoebis sp1
Borboleta amarela, n sei se visitou;Phoebis sp1
Borboleta asa azul ;Lycaenidae sp2
Borboleta asa azul 1;Strymon bazochii
Borboleta asa de folha;Anteos clorinde
Borboleta asa de folha (vídeo 22/11/2021 14:02);Anteos clorinde
Borboleta azul com preto;Synargis calyce
borboleta branca;Phoebis marcellina
Borboleta branca 1;Phoebis marcellina
Borboleta branca (21/08/2021 10:22);Phoebis marcellina
Borboleta branca 11;Ascia sp.
Borboleta branca co cinza pequnea com rabinho linda;Lycaenidae sp2
Borboleta branca com mancha preta na asa parece a do girassol;Ascia sp.
Borboleta branca com manchas amarela linda;Phoebis sp3
Borboleta branca do girassol;Ascia sp.
Borboleta branca do girassol (chamo de pavão branco, vi várias vezes);Ascia sp.
borboleta branca parece a do girassol;Ascia sp.
Borboleta branca pequena com etalhes em laranja;Lycaenidae sp2
Borboleta branca praguinha;Lycaenidae sp2
borboleta branco e preto;Burnsius orcus
Borboleta cinza;Lycaenidae sp2
borboleta cinza  com mancha na asas;Lycaenidae sp2
Borboleta cinza cap hj no orégano;Lycaenidae sp2
Borboleta cinza clássica daqui;Lycaenidae sp2
Borboleta cinza com asa fechada e pintas laranja na asa, pequena (já cap.);Lycaenidae sp2
Borboleta cinza com asas azuis (já pega);Lycaenidae sp2
Borboleta cinza com marrom;Hesperiidae sp5
Borboleta cinza com olhos nas asas (Vídeo);Lycaenidae sp2
Borboleta cinza Hespheriidae (Vídeo 25/11/2021);Lycaenidae sp2
Borboleta cinza Hespheriidae (Vídeo 25/11/2021) tbm;Hesperiidae sp5
Borboleta cinza magrinha;Hesperiidae sp5
Borboleta cinza pequena com pintas na asa (2 pintas)(Ver foto do funcho);Lycaenidae sp2
